Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
Social Assistance Services,Food Preparation & Serving Related Occupations,0,Some College,15,153,14586,153
Social Assistance Services,Food Preparation & Serving Related Occupations,0,Bachelors Degree or more,15,36,3332,36
Social Assistance Services,Food Preparation & Serving Related Occupations,1,Less than High School,15,31,2553,31
Social Assistance Services,Food Preparation & Serving Related Occupations,1,High School,15,56,4478,56
Social Assistance Services,Food Preparation & Serving Related Occupations,1,Some College,15,27,3058,27
Social Assistance Services,Food Preparation & Serving Related Occupations,1,Bachelors Degree or more,15,3,248,3
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,0,Less than High School,15,107,11428,107
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,0,High School,15,152,15140,152
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,0,Some College,15,99,8727,99
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,0,Bachelors Degree or more,15,24,2524,24
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,1,Less than High School,15,57,6235,57
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,1,High School,15,107,8030,107
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,1,Some College,15,25,1554,25
Social Assistance Services,Building & Grounds Cleaning & Maintenance Occupations,1,Bachelors Degree or more,15,6,453,6
Social Assistance Services,Personal Care & Service Occupations,0,Less than High School,15,1261,142496,1261
Social Assistance Services,Personal Care & Service Occupations,0,High School,15,3161,330937,3161
Social Assistance Services,Personal Care & Service Occupations,0,Some College,15,3923,420564,3923
Social Assistance Services,Personal Care & Service Occupations,0,Bachelors Degree or more,15,1523,159897,1523
Social Assistance Services,Personal Care & Service Occupations,1,Less than High School,15,203,20366,203
Social Assistance Services,Personal Care & Service Occupations,1,High School,15,350,34732,350
Social Assistance Services,Personal Care & Service Occupations,1,Some College,15,345,32811,345
Social Assistance Services,Personal Care & Service Occupations,1,Bachelors Degree or more,15,89,10531,89
Social Assistance Services,Sales & Related Occupations,0,Less than High School,15,3,421,3
Social Assistance Services,Sales & Related Occupations,0,High School,15,10,1758,10
Social Assistance Services,Sales & Related Occupations,0,Some College,15,15,2233,15
Social Assistance Services,Sales & Related Occupations,0,Bachelors Degree or more,15,25,2949,25
Social Assistance Services,Sales & Related Occupations,1,Less than High School,15,2,182,2
Social Assistance Services,Sales & Related Occupations,1,High School,15,5,407,5
Social Assistance Services,Sales & Related Occupations,1,Some College,15,1,70,1
Social Assistance Services,Sales & Related Occupations,1,Bachelors Degree or more,15,1,101,1
Social Assistance Services,Office & Administrative Support Occupations,0,Less than High School,15,63,7296,63
Social Assistance Services,Office & Administrative Support Occupations,0,High School,15,542,51006,542
Social Assistance Services,Office & Administrative Support Occupations,0,Some College,15,1022,103641,1022
Social Assistance Services,Office & Administrative Support Occupations,0,Bachelors Degree or more,15,553,55782,553
Social Assistance Services,Office & Administrative Support Occupations,1,Less than High School,15,34,3987,34
Social Assistance Services,Office & Administrative Support Occupations,1,High School,15,103,9852,103
Social Assistance Services,Office & Administrative Support Occupations,1,Some College,15,126,12411,126
Social Assistance Services,Office & Administrative Support Occupations,1,Bachelors Degree or more,15,42,4717,42
Social Assistance Services,"Farming, Fishing, & Forestry Occupations",0,Bachelors Degree or more,15,1,45,1
Social Assistance Services,"Farming, Fishing, & Forestry Occupations",1,Less than High School,15,21,643,21
Social Assistance Services,"Farming, Fishing, & Forestry Occupations",1,High School,15,6,166,6
Social Assistance Services,Construction & Extraction Occupations,0,Less than High School,15,2,303,2
Social Assistance Services,Construction & Extraction Occupations,0,High School,15,11,1104,11
Social Assistance Services,Construction & Extraction Occupations,0,Some College,15,11,862,11
Social Assistance Services,Construction & Extraction Occupations,0,Bachelors Degree or more,15,4,205,4
Social Assistance Services,Construction & Extraction Occupations,1,Less than High School,15,2,66,2
Social Assistance Services,Construction & Extraction Occupations,1,High School,15,3,561,3
Social Assistance Services,Construction & Extraction Occupations,1,Bachelors Degree or more,15,2,233,2
Social Assistance Services,"Installation, Maintenance, & Repair Occupations",0,Less than High School,15,5,763,5
Social Assistance Services,"Installation, Maintenance, & Repair Occupations",0,High School,15,16,1773,16
Social Assistance Services,"Installation, Maintenance, & Repair Occupations",0,Some College,15,15,1442,15
Social Assistance Services,"Installation, Maintenance, & Repair Occupations",0,Bachelors Degree or more,15,5,399,5
Social Assistance Services,"Installation, Maintenance, & Repair Occupations",1,High School,15,3,182,3
Social Assistance Services,"Installation, Maintenance, & Repair Occupations",1,Some College,15,1,79,1
Social Assistance Services,Production Occupations,0,Less than High School,15,29,2763,29
Social Assistance Services,Production Occupations,0,High School,15,83,9126,83
Social Assistance Services,Production Occupations,0,Some College,15,30,1651,30
Social Assistance Services,Production Occupations,0,Bachelors Degree or more,15,12,2251,12
Social Assistance Services,Production Occupations,1,Less than High School,15,260,16352,260
Social Assistance Services,Production Occupations,1,High School,15,314,21299,314
Social Assistance Services,Production Occupations,1,Some College,15,41,2480,41
Social Assistance Services,Production Occupations,1,Bachelors Degree or more,15,9,372,9
Social Assistance Services,Transportation & Material Moving Occupations,0,Less than High School,15,41,4149,41
Social Assistance Services,Transportation & Material Moving Occupations,0,High School,15,196,18391,196
Social Assistance Services,Transportation & Material Moving Occupations,0,Some College,15,150,14361,150
Social Assistance Services,Transportation & Material Moving Occupations,0,Bachelors Degree or more,15,33,3513,33
Social Assistance Services,Transportation & Material Moving Occupations,1,Less than High School,15,92,6959,92
Social Assistance Services,Transportation & Material Moving Occupations,1,High School,15,156,11689,156
Social Assistance Services,Transportation & Material Moving Occupations,1,Some College,15,27,1819,27
Social Assistance Services,Transportation & Material Moving Occupations,1,Bachelors Degree or more,15,6,611,6
"Arts, Entertainment, Recreation",Management Occupations,0,Less than High School,15,38,4593,38
"Arts, Entertainment, Recreation",Management Occupations,0,High School,15,244,27403,244
"Arts, Entertainment, Recreation",Management Occupations,0,Some College,15,548,53845,548
"Arts, Entertainment, Recreation",Management Occupations,0,Bachelors Degree or more,15,1076,107470,1076
"Arts, Entertainment, Recreation",Management Occupations,1,Less than High School,15,6,885,6
"Arts, Entertainment, Recreation",Management Occupations,1,High School,15,17,1742,17
"Arts, Entertainment, Recreation",Management Occupations,1,Some College,15,27,2934,27
"Arts, Entertainment, Recreation",Management Occupations,1,Bachelors Degree or more,15,32,3017,32
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,0,Less than High School,15,9,858,9
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,0,High School,15,71,7498,71
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,0,Some College,15,190,21558,190
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,0,Bachelors Degree or more,15,562,54776,562
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,1,Less than High School,15,2,144,2
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,1,High School,15,5,449,5
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,1,Some College,15,8,1386,8
"Arts, Entertainment, Recreation",Business & Financial Operations Occupations,1,Bachelors Degree or more,15,20,1689,20
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,0,Less than High School,15,2,151,2
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,0,High School,15,8,781,8
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,0,Some College,15,63,5616,63
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,0,Bachelors Degree or more,15,102,11573,102
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,1,Less than High School,15,2,239,2
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,1,High School,15,1,553,1
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,1,Some College,15,6,756,6
"Arts, Entertainment, Recreation",Computer & Mathematical Occupations,1,Bachelors Degree or more,15,3,177,3
"Arts, Entertainment, Recreation",Architecture & Engineering Occupations,0,Less than High School,15,2,157,2
"Arts, Entertainment, Recreation",Architecture & Engineering Occupations,0,High School,15,8,1027,8
"Arts, Entertainment, Recreation",Architecture & Engineering Occupations,0,Some College,15,24,2628,24
"Arts, Entertainment, Recreation",Architecture & Engineering Occupations,0,Bachelors Degree or more,15,39,3730,39
"Arts, Entertainment, Recreation",Architecture & Engineering Occupations,1,High School,15,1,264,1
"Arts, Entertainment, Recreation",Architecture & Engineering Occupations,1,Some College,15,2,97,2
"Arts, Entertainment, Recreation",Architecture & Engineering Occupations,1,Bachelors Degree or more,15,1,77,1
"Arts, Entertainment, Recreation","Life, Physical, & Social Science Occupations",0,High School,15,9,560,9
"Arts, Entertainment, Recreation","Life, Physical, & Social Science Occupations",0,Some College,15,18,1572,18
